,country,target,model,params,f1,accuracy,precision,recall,roc_auc
0,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.3866545689134447,0.5756356890779115,0.2800578938002013,0.6257142857142858,0.6525996583648513
1,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.3907143359992136,0.5736841311495189,0.28186173716611124,0.6385064935064935,0.6542792518168072
2,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.39877891755352884,0.5934877688293667,0.2920862731532464,0.6295129870129871,0.6466515487755673
3,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.3989115551042868,0.5892166621421892,0.2907487438734753,0.6366558441558443,0.6476704240621107
4,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2}",0.3914424717835548,0.5946505595270412,0.28892616335071575,0.6076298701298701,0.6291653992985504
5,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5}",0.39497588273934187,0.5992956896811751,0.29200969467360394,0.6113636363636364,0.6327854571171402
6,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.39731355152009984,0.5841658371791391,0.288292609443244,0.6402597402597403,0.6518752577228166
7,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.40255038308062996,0.5826184659005218,0.29052882594162743,0.6565584415584416,0.649038394603007
8,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.39513237039953736,0.5923204536542694,0.2897543830247201,0.622077922077922,0.6471587639059472
9,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.3966652519347484,0.5899933640997796,0.28980330181910446,0.6294155844155844,0.6458574133275397
10,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.39196935279000333,0.5895982264048502,0.2875117630781078,0.6168506493506494,0.6266442826548664
11,Cambodia,if_emo_vio,BalancedRandomForest,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.40182367530894,0.5954242451663498,0.29417854578639374,0.6348051948051948,0.636039027548075
0,Cambodia,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.32161741123825405,0.5989096009410912,0.21269086980299914,0.6621621621621621,0.6717764906000202
1,Cambodia,if_phy_vio,BalancedRandomForest,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.32054761339838955,0.5996893192169637,0.2124343132927195,0.6567567567567568,0.6741765706471587
